from,to,from_station,to_station,total_trips,distance,orig_pop,dest_jobs
77,49,Barbican,White City,8,10496.42615,10822,10048
77,37,Barbican,Woodford,31,15519.97992,10822,4985
77,236,Barbican,Woodside Park,24,15014.73827,10822,2880
77,6,Barbican,Edgware Road (B),0,5635.161516,10822,4474
77,147,Barbican,Shepherd's Bush (H),13,10733.70763,10822,2605
77,276,Barbican,Vauxhall,108,7393.292819,10822,28851
77,111,Barbican,Acton Town,0,15471.03362,10822,5080
77,241,Barbican,Arnos Grove,0,13162.96729,10822,3548
77,211,Barbican,Burnt Oak,0,15562.81369,10822,4092
77,212,Barbican,Colindale,0,14302.94205,10822,7185
77,8,Barbican,Elephant & Castle,0,3750.097565,10822,14986
77,14,Barbican,Harrow & Wealdston,0,22160.37034,10822,3746
77,232,Barbican,High Barnet,0,18926.89397,10822,4064
77,59,Barbican,Holland Park,0,8658.485878,10822,3168
77,62,Barbican,Lancaster Gate,0,6996.392158,10822,4928
77,229,Barbican,Mill Hill East,0,14495.52659,10822,1367
77,163,Barbican,Neasden,0,12908.86705,10822,3431
77,55,Barbican,Northolt,0,21410.51987,10822,4343
77,60,Barbican,Notting Hill Gate,0,7979.085346,10822,12811
77,253,Barbican,Oakwood,0,16689.49521,10822,2210
77,53,Barbican,Redbridge,0,13718.87474,10822,2155
77,152,Barbican,St. John's Wood,0,6562.800139,10822,7214
77,12,Barbican,Stonebridge Park,0,15121.30802,10822,1848
77,233,Barbican,Totteridge & Whetstone,0,16455.36894,10822,2389
77,28,Barbican,Barkingside,0,17922.75202,10822,1821
77,43,Barbican,Debden,0,21608.14774,10822,2646
77,57,Barbican,Hanger Lane,0,15802.476,10822,4282
77,127,Barbican,Kew Gardens,0,16748.17659,10822,3859
77,9,Barbican,Lambeth North,0,3887.903381,10822,2613
77,149,Barbican,Latimer Road,0,9625.0972,10822,2627
77,67,Barbican,Snaresbrook,0,12477.53235,10822,2301
77,240,Barbican,Sudbury Town,0,21823.26093,10822,1634
77,47,Barbican,East Acton,0,12212.9519,10822,3548
77,122,Barbican,Southfields,0,14989.64787,10822,5196
77,23,Barbican,Wembley Central,0,16793.05429,10822,3148
77,208,Barbican,Brent Cross,0,11007.96075,10822,2145
77,35,Barbican,Buckhurst Hill,0,17879.25769,10822,2324
77,117,Barbican,Kensington (Olympia),0,10591.35532,10822,398
77,15,Barbican,Kenton,0,20375.26216,10822,1160
77,22,Barbican,North Wembley,0,18030.121,10822,1192
77,56,Barbican,Perivale,0,17996.0172,10822,2681
77,70,Barbican,Ruislip Gardens,0,24604.60188,10822,970
77,18,Barbican,South Kenton,0,18977.98126,10822,678
77,99,Barbican,Upney,0,14497.12761,10822,2597
77,46,Barbican,West Acton,0,14963.39134,10822,1261
77,230,Barbican,West Finchley,0,14061.62511,10822,1374
77,13,Barbican,Willesden Junction,0,12800.68535,10822,4732
77,11,Barbican,Harlesden,0,13583.91092,10822,2045
77,63,Barbican,Queensway,0,7846.958171,10822,5714
77,40,Barbican,Chigwell,0,19022.53232,10822,445
77,42,Barbican,Roding Valley,0,16832.83661,10822,313
77,69,Barbican,South Ruislip,0,23707.08836,10822,1903
77,71,Barbican,West Ruislip,0,26746.14457,10822,1334
77,129,Barbican,Upminster Bridge,0,24021.97698,10822,1321
238,77,Alperton,Barbican,0,20256.58991,3084,13974
238,172,Alperton,Amersham,4,31267.16296,3084,1384
238,196,Alperton,Angel,0,19653.91197,3084,17781
238,198,Alperton,Archway,0,21973.90509,3084,7388
238,244,Alperton,Arsenal,6,21822.46819,3084,1857
238,0,Alperton,Baker Street,6,16060.89122,3084,26836
238,25,Alperton,Bank,103,18991.04934,3084,99997
238,100,Alperton,Barons Court,109,9659.783792,3084,6498
238,80,Alperton,Bayswater,0,13539.95471,3084,2718
238,81,Alperton,Blackfriars,3,18144.53934,3084,19042
238,269,Alperton,Blackhorse Road,0,27917.99331,3084,7290
238,33,Alperton,Bond Street,0,16065.44461,3084,36182
238,247,Alperton,Boston Manor,0,8060.916639,3084,1882
238,242,Alperton,Bounds Green,0,28107.60038,3084,4659
238,251,Alperton,Caledonian Road,0,20350.95497,3084,4847
238,214,Alperton,Camden Town,0,19020.56802,3084,15708
238,84,Alperton,Cannon Street,16,19045.90704,3084,10304
238,38,Alperton,Chancery Lane,5,17789.12674,3084,23080
238,4,Alperton,Embankment,4,16671.81268,3084,21813
238,110,Alperton,Chiswick Park,13,6035.306895,3084,2590
238,219,Alperton,Clapham Common,0,19618.18037,3084,8595
238,252,Alperton,Cockfosters,0,34148.78693,3084,1533
238,254,Alperton,Covent Garden,56,16576.45272,3084,12670
238,45,Alperton,Ealing Broadway,0,4893.241941,3084,19035
238,115,Alperton,Ealing Common,102,3797.668396,3084,2949
238,116,Alperton,Earl's Court,163,10824.73284,3084,15139
238,225,Alperton,East Finchley,0,25247.24376,3084,6287
238,120,Alperton,East Putney,0,14879.52395,3084,5692
238,213,Alperton,Edgware,0,31646.11224,3084,4245
238,50,Alperton,Epping,0,45909.21093,3084,3894
238,215,Alperton,Euston,0,17649.73673,3084,35148
238,78,Alperton,Farringdon,0,20131.02695,3084,29594
238,246,Alperton,Finsbury Park,0,22446.9064,3084,25516
238,124,Alperton,Fulham Broadway,114,12133.37878,3084,8891
238,52,Alperton,Gants Hill,0,33701.60224,3084,5975
238,89,Alperton,Gloucester Road,7,11862.78222,3084,10435
238,146,Alperton,Goldhawk Road,0,9727.93605,3084,1636
238,231,Alperton,Goodge Street,0,17302.88245,3084,8455
238,41,Alperton,Grange Hill,0,38822.99877,3084,807
238,76,Alperton,Great Portland Street,0,16986.71763,3084,9847
238,54,Alperton,Greenford,0,14286.08045,3084,4348
238,155,Alperton,Green Park,5,15113.48254,3084,45367
238,101,Alperton,Hammersmith,454,8808.881028,3084,31801
238,184,Alperton,Harrow-on-the-Hill,15,8840.658607,3084,8748
238,210,Alperton,Hendon Central,0,26766.41345,3084,6618
238,273,Alperton,Highbury & Islington,0,20573.96687,3084,34594
238,90,Alperton,High Street Kensington,0,11869.52956,3084,11547
238,39,Alperton,Holborn,55,17159.34325,3084,35986
238,262,Alperton,Hounslow Central,59,12203.71781,3084,3594
238,263,Alperton,Hounslow East,95,11467.51138,3084,3227
238,260,Alperton,Hounslow West,9,13544.401,3084,2538
238,256,Alperton,Hyde Park Corner,30,14294.60601,3084,4617
238,189,Alperton,Ickenham,2,11692.60943,3084,1226
238,227,Alperton,Kennington,0,18708.69633,3084,4274
238,88,Alperton,King's Cross St. Pancras,7,18395.17004,3084,81369
238,264,Alperton,Knightsbridge,18,13723.2887,3084,12422
238,218,Alperton,Leicester Square,34,16258.20566,3084,25314
238,64,Alperton,Leyton,0,27735.11267,3084,10315
238,26,Alperton,Liverpool Street,16,19655.81724,3084,73701
238,154,Alperton,London Bridge,0,18851.35554,3084,65422
238,82,Alperton,Mansion House,0,18776.67246,3084,9437
238,34,Alperton,Marble Arch,0,15546.29762,3084,12008
238,79,Alperton,Moorgate,0,19580.71747,3084,44294
238,217,Alperton,Mornington Crescent,0,18402.07229,3084,5023
238,48,Alperton,North Acton,0,7972.612302,3084,7385
238,255,Alperton,North Ealing,29,2973.627142,3084,779
238,248,Alperton,Northfields,18,7194.446471,3084,3372
238,192,Alperton,Northwood,0,16004.73402,3084,2907
238,249,Alperton,Osterley,27,10530.84189,3084,2069
238,24,Alperton,Oxford Circus,1,16041.32408,3084,80019
238,7,Alperton,Paddington,0,14475.78731,3084,47079
238,239,Alperton,Park Royal,59,1869.505568,3084,2078
238,125,Alperton,Parsons Green,0,12841.5859,3084,6894
238,5,Alperton,Picadilly Circus,7,15803.01942,3084,31758
238,128,Alperton,Ravenscourt Park,0,8057.836149,3084,3249
238,181,Alperton,Rayners Lane,80,6343.872063,3084,4055
238,2,Alperton,Regent's Park,0,16795.06485,3084,3965
238,130,Alperton,Richmond,105,11883.40601,3084,11766
238,176,Alperton,Rickmansworth,0,21225.1593,3084,2618
238,151,Alperton,Royal Oak,0,13588.76762,3084,2456
238,191,Alperton,Ruislip,3,9897.921273,3084,1699
238,261,Alperton,Russell Square,3,17853.21461,3084,8739
238,94,Alperton,St. James's Park,45,15492.56488,3084,18060
238,27,Alperton,St. Paul's,8,18840.74874,3084,20314
238,61,Alperton,Shepherd's Bush (C),0,11736.25662,3084,17315
238,92,Alperton,Sloane Square,0,13712.62892,3084,16035
238,237,Alperton,South Ealing,10,6676.795387,3084,2991
238,267,Alperton,South Harrow,129,4552.819353,3084,2148
238,91,Alperton,South Kensington,42,12496.33471,3084,27454
238,133,Alperton,Stamford Brook,0,7357.668592,3084,2517
238,131,Alperton,Stepney Green,0,22318.40556,3084,6365
238,221,Alperton,Stockwell,0,17981.4043,3084,7837
238,3,Alperton,Charing Cross,3,16492.30927,3084,17958
238,268,Alperton,Sudbury Hill,22,3178.291311,3084,1728
238,166,Alperton,Swiss Cottage,0,18792.13369,3084,6877
238,83,Alperton,Temple,3,17374.34992,3084,10970
238,44,Alperton,Theydon Bois,0,43354.03114,3084,817
238,224,Alperton,Tooting Broadway,0,23987.12363,3084,13504
238,58,Alperton,Tottenham Court Road,0,16789.05984,3084,37082
238,270,Alperton,Tottenham Hale,0,26679.9499,3084,10787
238,74,Alperton,Tower Hill,1,20018.47932,3084,19875
238,112,Alperton,Turnham Green,40,6746.424588,3084,5251
238,190,Alperton,Uxbridge,157,14902.26379,3084,7914
238,93,Alperton,Victoria,50,14650.52831,3084,70671
238,271,Alperton,Walthamstow Central,0,29510.8236,3084,20687
238,228,Alperton,Warren Street,12,17141.77022,3084,23875
238,21,Alperton,Warwick Avenue,0,15534.3195,3084,3402
238,10,Alperton,Waterloo,2,16905.77399,3084,87309
238,150,Alperton,Westbourne Park,0,12652.66392,3084,3339
238,118,Alperton,West Brompton,0,11376.54065,3084,4854
238,102,Alperton,West Kensington,16,10174.23077,3084,4151
238,86,Alperton,Westminster,19,16082.52772,3084,24164
238,96,Alperton,Whitechapel,0,21288.03639,3084,22124
238,164,Alperton,Willesden Green,0,17653.16286,3084,6527
238,136,Alperton,Wimbledon,49,19240.43578,3084,12057
238,134,Alperton,Wimbledon Park,0,17720.3752,3084,1778
238,250,Alperton,Wood Green,0,26636.51963,3084,9584
238,275,Alperton,Pimlico,0,15771.95617,3084,10049
238,272,Alperton,Brixton,0,19201.91895,3084,24288
238,257,Alperton,Hatton Cross,126,16228.53089,3084,2545
